,Zip_Month,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT11
0,18940-Jan,32.43235294117647,28.04985337243402,7.6920821114369495,22.096774193548388,39.81231671554252,-59.524926686217015,1.0,1.0
1,18940-Feb,35.87702265372168,27.91639871382637,10.0,32.527687296416936,52.00321543408361,-57.713826366559495,1.0,1.0
2,18940-Mar,37.14411764705882,34.058651026392965,3.1114369501466275,7.193548387096773,110.82111436950147,-11.859237536656892,1.0,1.0
3,18940-Apr,35.90577507598785,34.160606060606064,0.0,0.0,179.34848484848484,46.05151515151515,1.0,1.0
4,18940-May,29.134897360703807,36.0117302052786,0.0,0.0,233.19061583577712,102.00586510263928,1.0,1.0
5,18940-Jun,26.63939393939394,39.627272727272725,0.0,0.0,279.41212121212124,156.0060606060606,1.0,1.0
6,18940-Jul,24.64306784660767,40.961876832844574,0.0,0.0,304.62463343108504,187.70967741935485,1.0,1.0
7,18940-Aug,23.24633431085044,39.052785923753675,0.0,0.6735294117647059,289.87976539589437,171.92961876832842,1.0,1.0
8,18940-Sep,26.592705167173253,30.50606060606061,0.0,0.0,258.62727272727267,134.14242424242423,1.0,1.0
9,18940-Oct,28.67455621301775,34.30205278592376,0.7067448680351907,1.0238095238095235,193.58357771261,70.51026392961877,1.0,1.0
10,18940-Nov,29.762917933130694,20.43636363636364,0.2878787878787879,0.2382445141065831,125.81515151515151,6.1454545454545455,1.0,1.0
11,18940-Dec,31.592375366568923,37.36070381231672,3.7067448680351904,8.861861861861861,70.94134897360703,-25.9266862170088,1.0,1.0
12,38477-Jan,0.0,44.32781456953642,1.6825396825396826,2.7230769230769236,104.76014760147602,-14.383763837638377,0.0,0.0
13,38477-Feb,0.0,31.16666666666667,1.78,2.9915966386554618,138.81545064377679,3.0429184549356223,0.0,0.0
14,38477-Mar,0.0,47.516129032258064,0.3555555555555556,0.40384615384615385,188.7932330827068,42.703007518796994,0.0,0.0
15,38477-Apr,0.0,45.789830508474566,0.0,0.0,242.19291338582678,89.60759493670885,0.0,0.0
16,38477-May,0.0,43.76699029126213,0.0,0.0,272.9721115537849,133.78486055776892,0.0,0.0
17,38477-Jun,0.0,39.36236933797909,0.0,0.0,320.5165289256198,191.55785123966945,0.0,0.0
18,38477-Jul,0.0,45.522658610271904,0.0,0.0,325.7436823104693,205.6750902527076,0.0,0.0
19,38477-Aug,0.0,38.06470588235294,0.0,0.0,319.13392857142856,193.3125,0.0,0.0
20,38477-Sep,0.0,31.956790123456788,0.0,0.0,293.3822393822394,155.49420849420852,0.0,0.0
21,38477-Oct,0.0,37.00589970501475,0.0,0.0,244.3037037037037,90.87407407407407,0.0,0.0
22,38477-Nov,0.0,33.01547987616099,0.013157894736842105,0.0,183.35907335907336,31.88803088803089,0.0,0.0
23,38477-Dec,0.0,67.12609970674487,1.3807531380753135,0.2420382165605096,128.40942028985506,4.653429602888087,0.0,0.0
24,21765-Jan,0.0,24.63636363636364,6.907051282051282,46.3170731707317,0.0,0.0,0.0,0.0
25,21765-Feb,0.0,22.839228295819936,10.132203389830508,113.47107438016528,0.0,0.0,0.0,0.0
26,21765-Mar,0.0,31.49560117302053,4.403333333333333,34.511627906976734,0.0,0.0,0.0,0.0
27,21765-Apr,0.0,33.903030303030306,0.13059701492537312,0.5434782608695652,0.0,0.0,0.0,0.0
28,21765-May,0.0,39.618768328445746,0.0,0.0,0.0,0.0,0.0,0.0
29,21765-Jun,0.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0
30,21765-Jul,0.0,34.002932551319645,0.0,0.0,0.0,0.0,0.0,0.0
31,21765-Aug,0.0,30.98240469208211,0.0,0.0,0.0,0.0,0.0,0.0
32,21765-Sep,0.0,34.71515151515152,0.0,0.0,0.0,0.0,0.0,0.0
33,21765-Oct,0.0,39.65102639296187,0.3851590106007067,1.8,0.0,0.0,0.0,0.0
34,21765-Nov,0.0,20.4,0.30584192439862545,1.443181818181818,0.0,0.0,0.0,0.0
35,21765-Dec,0.0,34.516129032258064,4.568106312292358,24.724137931034484,0.0,0.0,0.0,0.0
36,79364-Jan,0.0,6.830128205128204,0.9864864864864864,3.3776978417266186,0.0,0.0,0.0,1.0
37,79364-Feb,0.0,7.6061643835616435,2.1067615658362993,3.071969696969697,0.0,0.0,0.0,1.0
38,79364-Mar,0.0,12.460063897763579,0.2745762711864407,0.2714285714285714,0.0,0.0,0.0,1.0
39,79364-Apr,0.0,17.24848484848485,0.0,0.0,0.0,0.0,0.0,1.0
40,79364-May,0.0,24.78299120234604,0.0,0.0,0.0,0.0,0.0,1.0
41,79364-Jun,0.0,22.62121212121212,0.0,0.0,0.0,0.0,0.0,1.0
42,79364-Jul,0.0,24.791788856304983,0.0,0.0,0.0,0.0,0.0,1.0
43,79364-Aug,0.0,19.17008797653959,0.0,0.0,0.0,0.0,0.0,1.0
44,79364-Sep,0.0,25.28787878787879,0.0,0.0,0.0,0.0,0.0,1.0
45,79364-Oct,0.0,12.234604105571847,0.0,0.0,0.0,0.0,0.0,1.0
46,79364-Nov,0.0,4.9424242424242415,0.2993197278911565,0.4632352941176471,0.0,0.0,0.0,1.0
47,79364-Dec,0.0,6.8240469208211145,1.6063492063492064,3.4134615384615383,0.0,0.0,0.0,1.0
48,38858-Jan,0.0,38.08797653958944,0.5177664974619289,0.5177664974619289,107.84164222873899,-9.595307917888563,0.0,0.0
49,38858-Feb,0.0,33.17041800643087,1.525,2.2623762376237617,130.5369774919614,2.7813504823151125,0.0,0.0
