Unnamed: 0,zip_month,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT11
0,18940-Jan,32.4323529411765,28.049853372434,7.69208211143695,22.0967741935484,39.8123167155425,-59.524926686217,1,1
1,18940-Feb,35.8770226537217,27.9163987138264,10,32.5276872964169,52.0032154340836,-57.7138263665595,1,1
2,18940-Mar,37.1441176470588,34.058651026393,3.11143695014663,7.19354838709677,110.821114369501,-11.8592375366569,1,1
3,18940-Apr,35.9057750759878,34.1606060606061,0,0,179.348484848485,46.0515151515151,1,1
4,18940-May,29.1348973607038,36.0117302052786,0,0,233.190615835777,102.005865102639,1,1
5,18940-Jun,26.6393939393939,39.6272727272727,0,0,279.412121212121,156.006060606061,1,1
6,18940-Jul,24.6430678466077,40.9618768328446,0,0,304.624633431085,187.709677419355,1,1
7,18940-Aug,23.2463343108504,39.0527859237537,0,0.673529411764706,289.879765395894,171.929618768328,1,1
8,18940-Sep,26.5927051671733,30.5060606060606,0,0,258.627272727273,134.142424242424,1,1
9,18940-Oct,28.6745562130177,34.3020527859238,0.706744868035191,1.02380952380952,193.58357771261,70.5102639296188,1,1
10,18940-Nov,29.7629179331307,20.4363636363636,0.287878787878788,0.238244514106583,125.815151515152,6.14545454545455,1,1
11,18940-Dec,31.5923753665689,37.3607038123167,3.70674486803519,8.86186186186186,70.941348973607,-25.9266862170088,1,1
12,38477-Jan,0,44.3278145695364,1.68253968253968,2.72307692307692,104.760147601476,-14.3837638376384,0,0
13,38477-Feb,0,31.1666666666667,1.78,2.99159663865546,138.815450643777,3.04291845493562,0,0
14,38477-Mar,0,47.5161290322581,0.355555555555556,0.403846153846154,188.793233082707,42.703007518797,0,0
15,38477-Apr,0,45.7898305084746,0,0,242.192913385827,89.6075949367089,0,0
16,38477-May,0,43.7669902912621,0,0,272.972111553785,133.784860557769,0,0
17,38477-Jun,0,39.3623693379791,0,0,320.51652892562,191.557851239669,0,0
18,38477-Jul,0,45.5226586102719,0,0,325.743682310469,205.675090252708,0,0
