Bandwidth = 1
Cluster count: 11
Centers: 
[ 0.     0.02  -0.229 -0.204  0.182  0.174]
[61.    -0.335  2.428  3.646 -1.71  -1.714]
[1723.       0.061    0.757    9.997   -1.273   -1.135]
[2891.      10.806   12.762    2.355   -0.586   -0.597]
[2894.       5.384    3.595    1.008   -0.604   -0.527]
[2900.      10.845   -0.415   -0.269    0.328   -0.047]
[4426.       5.791   -0.334   -0.239    0.243    0.685]
[4967.       2.953    4.583    6.877   -1.576   -1.075]
[4978.       4.745    7.867    5.018   -1.618   -1.039]
[6011.      -0.022   38.987    1.922   -0.651   -0.954]
[8013.       2.432    5.663   15.117   -1.25    -0.78 ]
