zip,city,state,cws_id,cws_name,cws_dist
35544,BEAVERTON,AL,USC00017947,SULLIGENT,7682.0
35545,BELK,AL,US1ALFY0002,FAYETTE 1.0 S,9297.0
35615,BELLE MINA,AL,USW00003856,HUNTSVILLE INTL AP,3177.0
36313,BELLWOOD,AL,USW00003850,CAIRNS FLD FT RUCKER,12813.0
35020,BESSEMER,AL,US1ALJF0037,BESSEMER 1.0 WNW,1909.0
36006,BILLINGSLEY,AL,USC00010823,BILLINGSLEY,2303.0
35201,BIRMINGHAM,AL,USC00010836,BIRMINGHAM,4281.0
36314,BLACK,AL,USC00013255,GENEVA,13122.0
35031,BLOUNTSVILLE,AL,US1ALBL0020,BLOUNTSVILLE 1.9 ESE,2249.0
35956,BOAZ,AL,USC00010957,BOAZ,1227.0
35443,BOLIGEE,AL,USC00013160,GAINESVILLE LOCK,14241.0
35032,BON AIR,AL,USC00011620,CHILDERSBURG WTP,3034.0
36511,BON SECOUR,AL,US1ALBW0066,GULF SHORES 3.1 N,955.0
36008,BOOTH,AL,USC00016643,PRATTVILLE 3 SW,3612.0
36723,BOYKIN,AL,USC00011300,CAMDEN 3 NNW,5350.0
36009,BRANTLEY,AL,USC00011069,BRANTLEY,1625.0
35033,BREMEN,AL,US1ALCM0001,BREMEN 3.9 NNW,10427.0
35034,BRENT,AL,USR0000AOKM,OAKMULGEE ALABAMA,1912.0
36426,BREWTON,AL,USC00011080,BREWTON 3 ENE,4041.0
35740,BRIDGEPORT,AL,USC00018936,WIDOWS CREEK STEAM PLT,7282.0
35035,BRIERFIELD,AL,USC00011100,BRIERFIELD,3221.0
35548,BRILLIANT,AL,USC00018998,WINFIELD 2 SW,13113.0
35036,BROOKSIDE,AL,US1ALJF0008,GARDENDALE 0.4 S,10548.0
35444,BROOKWOOD,AL,USC00011143,BROOKWOOD,2595.0
35741,BROWNSBORO,AL,US1ALMD0040,HAMPTON COVE 0.5 NNW,4322.0
36010,BRUNDIDGE,AL,USC00011178,BRUNDIDGE,2594.0
36512,BUCKS,AL,US1ALMB0062,MOUNT VERNON 0.4 NE,9018.0
35446,BUHL,AL,US1ALTS0017,COKER 0.6 S,4264.0
36253,BYNUM,AL,US1ALTG0010,MUNFORD 1.3 WNW,7165.0
35040,CALERA,AL,USC00011288,CALERA,745.0
36726,CAMDEN,AL,US1ALWX0002,CAMDEN 1.0 NNE,2956.0
36727,CAMPBELL,AL,USC00011315,CAMPBELL,5071.0
36850,CAMP HILL,AL,USC00011324,CAMP HILL 2NW,2684.0
35742,CAPSHAW,AL,US1ALLS0003,ATHENS 4.3 W,2945.0
35549,CARBON HILL,AL,USC00011377,CARBON HILL 4SE,5715.0
35447,CARROLLTON,AL,USC00016847,REFORM,14909.0
36432,CASTLEBERRY,AL,US1ALCC0001,CASTLEBERRY 5.6 WSW,9561.0
35959,CEDAR BLUFF,AL,USC00011490,CENTRE,11686.0
35042,CENTREVILLE,AL,USC00011520,CENTREVILLE,308.0
36316,CHANCELLOR,AL,USC00011807,COFFEE SPRINGS 2 NW,6039.0
36015,CHAPMAN,AL,USC00013271,GEORGIANA,8378.0
36518,CHATOM,AL,USC00011566,CHATOM,1267.0
35043,CHELSEA,AL,US1ALSH0037,CHELSEA 0.8 NE,1690.0
35616,CHEROKEE,AL,US1ALCT0002,CHEROKEE 3.9 N,6916.0
36521,CHUNCHULA,AL,US1ALMB0058,CHUNCHULA 3.0 NE,4861.0
36522,CITRONELLE,AL,USC00011685,CITRONELLE,981.0
35045,CLANTON,AL,USW00063891,CLANTON 2 NE,1528.0
35048,CLAY,AL,US1ALJF0036,TRUSSVILLE 3.4 N,2330.0
36016,CLAYTON,AL,USC00011725,CLAYTON,1022.0
35049,CLEVELAND,AL,US1ALBL0002,ROSA 2.8 SW,4537.0
36017,CLIO,AL,US1ALBR0001,CLIO 0.2 SSW,683.0
36317,CLOPTON,AL,US1ALDL0002,CLOPTON 0.1 SW,794.0
35617,CLOVERDALE,AL,US1ALLD0039,FLORENCE 9.9 NW,5117.0
35449,COALING,AL,US1ALTS0003,HOLT 11.4 SSE,8803.0
36523,CODEN,AL,US1ALMB0041,THEODORE 8.0 SSE,5991.0
36524,COFFEEVILLE,AL,USC00011810,COFFEEVILLE L&D,4648.0
35961,COLLINSVILLE,AL,USC00011849,COLLINSVILLE,2414.0
36319,COLUMBIA,AL,USC00011865,COLUMBIA,980.0
35051,COLUMBIANA,AL,US1ALSH0061,WILSONVILLE 2.2 NNW,14395.0
35052,COOK SPRINGS,AL,USC00016328,PELL CITY 2 W,4166.0
36020,COOSADA,AL,US1ALEL0024,MILLBROOK 1.7 NW,5866.0
35550,CORDOVA,AL,USC00011940,CORDOVA 2 ENE,3865.0
36851,COTTONTON,AL,USC00016501,PITTSVIEW,6435.0
35618,COURTLAND,AL,USW00063868,COURTLAND 2 WSW,3305.0
36321,COWARTS,AL,USC00012377,DOTHAN,6758.0
36525,CREOLA,AL,US1ALMB0018,SARALAND 1.4 E,10869.0
35054,CROPWELL,AL,USC00014866,LOGAN MARTIN DAM,2692.0
35962,CROSSVILLE,AL,USC00017207,SAND MT SUBSTN,2192.0
35055,CULLMAN,AL,USC00017157,SAINT BERNARD,1589.0
36852,CUSSETA,AL,US1ALLE0003,OPELIKA 9.5 ENE,4356.0
36853,DADEVILLE,AL,USC00012119,DADEVILLE,1749.0
36362,FORT RUCKER,AL,USW00063873,OZARK FT RUCKER,4264.0
35619,DANVILLE,AL,USC00012149,DANVILLE,4490.0
36526,DAPHNE,AL,US1ALBW0004,DAPHNE 0.4 SW,1114.0
36527,SPANISH FORT,AL,US1ALBW0028,SPANISH FORT 0.8 WSW,1756.0
36528,DAUPHIN ISLAND,AL,US1ALMB0067,DAUPHIN ISLAND 2.2 E,2611.0
36256,DAVISTON,AL,USC00018605,WADLEY,9476.0
35963,DAWSON,AL,US1ALDK0018,CROSSVILLE 2.2 NNE,6740.0
36022,DEATSVILLE,AL,US1ALAT0013,DEATSVILLE 3.4 NW,3920.0
35601,DECATUR,AL,USC00012207,DECATUR,1915.0
36529,DEER PARK,AL,USC00018223,TIBBIE 2 S,14844.0
36258,DELTA,AL,USC00012235,DELTA,2626.0
36732,DEMOPOLIS,AL,USC00012240,DEMOPOLIS LOCK 4,2640.0
36736,DIXONS MILLS,AL,USC00015004,MAGNOLIA,11370.0
35061,DOLOMITE,AL,USC00010762,BESSEMER 3 NE,4617.0
35038,BURNWELL,AL,USC00013430,GORGAS 2 ENE,8429.0
35062,DORA,AL,USC00012350,DORA,2799.0
36301,DOTHAN,AL,US1ALHS0004,DOTHAN 1.5 SSW,2168.0
35553,DOUBLE SPRINGS,AL,USC00012386,DOUBLE SPRINGS,1897.0
35964,DOUGLAS,AL,US1ALMS0019,DOUGLAS 6.8 NW,11097.0
35744,DUTTON,AL,US1ALDK0010,FYFFE 6.3 NNE,6813.0
35457,ECHOLA,AL,USC00012632,ELROD,7112.0
36024,ECLECTIC,AL,US1ALEL0016,ECLECTIC 5.2 SW,8157.0
36261,EDWARDSVILLE,AL,USC00013775,HEFLIN,10948.0
36323,ELBA,AL,USC00012577,ELBA,1576.0
36530,ELBERTA,AL,USW00093826,BARIN FLD NAAS,1111.0
35620,ELKMONT,AL,US1ALLS0008,ELKMONT 0.5 NNE,1702.0
36025,ELMORE,AL,US1ALEL0022,WETUMPKA 5.4 WNW,5328.0
35063,EMPIRE,AL,US1ALBL0015,EMPIRE 4.7 NE,6058.0
36330,ENTERPRISE,AL,USC00012670,ENTERPRISE,1019.0
35460,EPES,AL,USC00014798,LIVINGSTON,13753.0
36026,EQUALITY,AL,US1ALCS0003,ALEXANDER CITY 10.0 SW,5818.0
35745,ESTILLFORK,AL,USC00017968,SWAIM,3336.0
35461,ETHELSVILLE,AL,US1MSLW0005,COLUMBUS 5.3 ESE,12390.0
36027,EUFAULA,AL,US1ALBR0002,EUFAULA 1.0 SSE,837.0
35621,EVA,AL,USC00012737,EVA,2794.0
36401,EVERGREEN,AL,USC00012758,EVERGREEN,1696.0
36439,EXCEL,AL,US1ALMN0004,EXCEL 2.5 ESE,3434.0
36532,FAIRHOPE,AL,US1ALBW0083,FAIRHOPE 0.8 N,1762.0
35622,FALKVILLE,AL,USC00012840,FALKVILLE 1 E,1577.0
36738,FAUNSDALE,AL,USC00012188,DAYTON 1 N,10839.0
36029,FITZPATRICK,AL,USC00015172,MATHEWS,13782.0
36855,FIVE POINTS,AL,USC00014502,LAFAYETTE 2W,13865.0
35966,FLAT ROCK,AL,USC00012945,FLAT ROCK,5650.0
36442,FLORALA,AL,USW00063870,FLORALA MUNI AP,2738.0
35630,FLORENCE,AL,US1ALLD0032,FLORENCE 1.2 S,1196.0
36535,FOLEY,AL,US1ALBW0009,FOLEY 0.5 ESE,466.0
36030,FOREST HOME,AL,US1ALBT0001,GREENVILLE 12.7 W,131.0
36740,FORKLAND,AL,USC00012245,DEMOPOLIS L&D,13555.0
36031,FORT DAVIS,AL,USC00018406,TUSKEGEE 3 SW,10443.0
36032,FORT DEPOSIT,AL,USC00013024,FT DEPOSIT,1308.0
36856,FORT MITCHELL,AL,USC00017326,SEALE,9123.0
35967,FORT PAYNE,AL,US1ALDK0009,FORT PAYNE 1.4 WSW,2498.0
35463,FOSTERS,AL,US1ALTS0013,NORTHPORT 11.3 WSW,8689.0
36444,FRANKLIN,AL,USC00015785,NATCHEZ,13590.0
36445,FRISCO CITY,AL,USC00013105,FRISCO CITY 3 SSW,4906.0
36539,FRUITDALE,AL,USC00228382,STATE LINE,12491.0
36262,FRUITHURST,AL,USC00098547,TALLAPOOSA 2 N,12705.0
36436,DICKINSON,AL,USC00018867,WHATLEY,12135.0
36446,FULTON,AL,USW00023802,THOMASVILLE 2 S,11379.0
36741,FURMAN,AL,USC00017620,SNOW HILL,5352.0
35971,FYFFE,AL,US1ALDK0012,RAINSVILLE 1.9 S,5778.0
35070,GARDEN CITY,AL,USC00013200,GARDEN CITY,744.0
36340,GENEVA,AL,USC00013251,GENEVA #2,925.0
35974,GERALDINE,AL,US1ALDK0007,GERALDINE 2.8 WSW,4725.0
35559,GLEN ALLEN,AL,US1ALFY0001,WINFIELD 6.9 S,8627.0
35072,GOODWATER,AL,USC00013399,GOODWATER,744.0
36035,GOSHEN,AL,USW00023801,TROY 2 W,14402.0
36036,GRADY,AL,US1ALMY0006,RAMER 1.5 SE,9357.0
36263,GRAHAM,AL,USC00013842,HIGHTOWER,8256.0
36541,GRAND BAY,AL,US1ALMB0022,GRAND BAY 0.6 NW,1365.0
35747,GRANT,AL,US1ALMS0015,GRANT 6.3 SW,9817.0
35074,GREEN POND,AL,US1ALBB0005,WOODSTOCK 2.2 SW,4335.0
36744,GREENSBORO,AL,USC00013511,GREENSBORO,832.0
36037,GREENVILLE,AL,USC00013524,GREENVILLE 2,1940.0
35975,GROVEOAK,AL,USC00017671,SOUTH HILL,3390.0
35563,GUIN,AL,US1ALMR0001,GUIN 1.1 NW,2389.0
36542,GULF SHORES,AL,USC00013559,GULF SHORES PO,2182.0
35976,GUNTERSVILLE,AL,US1ALMS0018,GUNTERSVILLE 1.2 S,1134.0
35748,GURLEY,AL,USC00016226,PAINT ROCK 2 N,3358.0
35564,HACKLEBURG,AL,USC00013610,HACKLEBURG,2605.0
35570,HAMILTON,AL,USC00013644,HAMILTON,804.0
35077,HANCEVILLE,AL,US1ALCM0004,HANCEVILLE 1.6 E,2352.0
35078,HARPERSVILLE,AL,USC00011615,CHILDERSBURG,8624.0
36344,HARTFORD,AL,USC00017576,SLOCOMB,8776.0
35640,HARTSELLE,AL,US1ALMG0024,HARTSELLE 1.0 S,1098.0
35749,HARVEST,AL,US1ALMD0082,MADISON 8.0 N,3859.0
36858,HATCHECHUBBEE,AL,USC00013722,HATCHECHUBBEE,2157.0
35079,HAYDEN,AL,US1ALBL0016,HAYDEN 0.4 SSW,619.0
